Timestamp,Temp (°C),Humidity (%),CO2 (ppm),NOx (ppm),PM2.5 (µg/m³),PM10 (µg/m³)
1760366690000,25.96,63.6,643.7,0.0536,50.0,80.5
1760366700000,25.96,62.9,659.1,0.0526,48.7,80.7
1760366710000,26.04,63.0,660.8,0.0570,48.9,81.5
1760366720000,26.05,63.5,651.0,0.0544,47.8,82.0
1760366730000,26.04,63.1,652.3,0.0540,48.1,78.4
1760366740000,25.97,63.4,661.9,0.0523,47.4,82.1
1760366750000,25.93,63.9,660.0,0.0555,49.0,80.2
1760366760000,25.96,63.3,659.5,0.0548,48.3,81.3
1760366770000,26.10,64.1,653.0,0.0560,47.3,79.5
1760366780000,26.08,64.0,646.1,0.0569,47.7,78.7
1760366790000,25.90,63.2,654.4,0.0550,49.2,82.2
1760366800000,25.91,64.0,663.3,0.0534,48.5,82.5
1760366810000,25.90,64.0,657.5,0.0519,47.7,80.9
1760366820000,26.01,64.0,648.3,0.0558,48.5,82.1
1760366830000,25.96,63.6,637.3,0.0545,49.5,82.7
1760366840000,26.11,63.1,656.0,0.0561,47.3,79.7
1760366850000,25.90,63.9,649.2,0.0535,46.8,79.8
1760366860000,26.12,63.5,659.7,0.0560,48.9,81.9
1760366870000,26.01,63.3,654.5,0.0532,49.1,80.3
1760366880000,26.10,63.7,636.4,0.0532,49.0,79.2
1760366890000,26.07,63.1,657.6,0.0546,49.4,81.1
1760366900000,26.14,64.3,647.5,0.0554,48.2,83.0
1760366910000,25.90,64.0,657.9,0.0567,48.3,78.6
1760366920000,26.02,63.1,641.6,0.0554,49.2,80.5
1760366930000,25.85,63.5,662.3,0.0537,47.4,77.9
1760366940000,26.02,63.7,645.6,0.0562,50.0,79.9
1760366950000,26.01,63.9,632.8,0.0531,48.0,81.8
1760366960000,25.97,63.5,648.8,0.0559,47.6,82.1
1760366970000,25.94,63.0,654.6,0.0529,47.9,81.1
1760366980000,26.02,63.2,654.5,0.0540,48.1,79.4
1760366990000,25.93,63.6,660.0,0.0543,47.3,82.4
1760367000000,25.98,63.1,653.5,0.0560,49.5,80.6
1760367010000,26.00,63.7,644.9,0.0561,47.0,82.4
1760367020000,25.85,63.4,653.5,0.0558,48.3,79.4
1760367030000,25.97,63.0,657.1,0.0556,48.3,79.0
1760367040000,26.10,63.6,650.9,0.0571,49.5,82.4
1760367050000,25.94,63.2,652.9,0.0572,49.4,80.4
1760367060000,26.02,64.3,653.3,0.0550,47.6,79.9
1760367070000,25.86,62.8,650.7,0.0528,49.5,82.5
1760367080000,25.90,63.4,650.5,0.0525,49.0,82.2
1760367090000,25.96,64.1,641.5,0.0585,47.5,81.6
1760367100000,25.97,64.4,635.9,0.0544,47.8,82.4
1760367110000,26.11,64.0,657.7,0.0535,48.1,78.9
1760367120000,26.05,63.2,644.2,0.0574,47.2,81.7
1760367130000,25.95,63.3,664.0,0.0570,47.8,81.1
1760367140000,26.05,63.8,644.8,0.0570,50.0,79.7
1760367150000,25.97,63.7,645.3,0.0580,49.8,80.4
1760367160000,26.06,64.1,642.7,0.0522,47.6,79.0
1760367170000,25.98,63.0,645.4,0.0526,49.5,81.4
1760367180000,25.99,63.2,643.9,0.0546,48.9,79.5
1760367190000,25.98,62.9,652.9,0.0556,47.4,82.1
1760367200000,26.09,62.5,648.1,0.0540,49.0,83.3
1760367210000,25.97,64.0,636.8,0.0544,47.8,83.3
1760367220000,25.86,63.4,651.7,0.0526,49.0,79.1
1760367230000,26.02,62.9,644.1,0.0532,48.8,82.6
1760367240000,25.96,62.7,662.2,0.0546,48.6,80.0
1760367250000,26.09,63.7,660.1,0.0551,47.5,81.1
1760367260000,25.91,63.7,648.2,0.0554,48.4,80.5
1760367270000,25.99,63.2,647.4,0.0554,47.1,78.8
1760367280000,25.98,63.8,643.5,0.0541,50.0,81.4
1760367290000,26.06,63.1,633.2,0.0532,48.5,81.0
1760367300000,25.89,63.2,647.0,0.0554,47.5,79.2
1760367310000,25.87,62.7,664.8,0.0533,48.4,80.8
1760367320000,26.22,63.8,630.1,0.0538,49.0,81.4
1760367330000,26.04,64.0,653.5,0.0542,49.8,79.4
1760367340000,25.99,63.9,653.2,0.0577,48.7,82.4
1760367350000,26.07,63.4,646.8,0.0555,48.1,83.0
1760367360000,25.92,63.2,655.8,0.0560,48.6,78.8
1760367370000,26.01,63.2,665.5,0.0559,48.4,82.0
1760367380000,25.92,63.8,655.4,0.0566,47.7,78.1
1760367390000,26.06,64.1,651.0,0.0553,49.4,81.7
1760367400000,25.91,63.6,658.5,0.0542,48.3,80.1
1760367410000,26.14,63.3,629.8,0.0575,48.8,78.6
1760367420000,26.09,64.3,655.8,0.0556,48.4,81.3
1760367430000,26.10,63.7,645.0,0.0559,50.2,80.2
1760367440000,25.91,63.2,645.7,0.0537,49.1,80.0
1760367450000,25.78,63.4,641.2,0.0533,47.2,82.1
1760367460000,26.03,63.1,652.8,0.0539,48.2,81.5
1760367470000,25.87,64.0,643.1,0.0526,50.2,80.9
1760367480000,25.78,63.7,652.5,0.0558,47.5,80.0
1760367490000,25.93,63.1,650.1,0.0533,47.8,82.5
1760367500000,25.84,62.9,633.0,0.0549,49.3,83.5
1760367510000,25.89,63.2,637.4,0.0565,47.6,79.1
1760367520000,26.02,63.1,658.9,0.0518,49.6,79.7
1760367530000,26.04,63.8,659.6,0.0560,46.7,81.3
1760367540000,26.05,64.2,645.7,0.0581,47.0,83.7
1760367550000,25.85,64.4,654.3,0.0528,48.3,82.7
1760367560000,25.95,63.5,645.9,0.0542,48.8,79.2
1760367570000,26.09,63.7,655.3,0.0516,48.8,80.1
1760367580000,25.84,63.9,647.4,0.0557,50.1,78.5
1760367590000,25.90,63.4,653.6,0.0527,49.0,83.0
