Timestamp,Temp (°C),Humidity (%),CO2 (ppm),NOx (ppm),PM2.5 (µg/m³),PM10 (µg/m³)
1760316790000,23.35,72.6,569.8,0.0432,40.8,71.1
1760316800000,23.52,72.5,556.1,0.0447,42.6,72.8
1760316810000,23.50,71.1,561.7,0.0437,41.8,73.8
1760316820000,23.51,73.1,547.4,0.0449,42.6,74.1
1760316830000,23.63,71.8,568.5,0.0445,42.4,74.3
1760316840000,23.35,71.6,559.8,0.0433,41.5,73.6
1760316850000,23.37,72.0,562.7,0.0431,42.1,72.0
1760316860000,23.38,72.6,553.3,0.0463,42.2,72.4
1760316870000,23.59,72.3,555.2,0.0462,41.3,73.1
1760316880000,23.51,71.1,559.7,0.0442,41.4,72.2
1760316890000,23.68,71.7,555.9,0.0445,43.3,72.4
1760316900000,23.46,71.9,552.6,0.0458,41.0,73.9
1760316910000,23.53,72.2,547.0,0.0437,41.2,71.3
1760316920000,23.48,71.4,558.6,0.0441,42.4,72.6
1760316930000,23.63,72.0,546.4,0.0466,42.4,73.8
1760316940000,23.43,71.8,555.4,0.0434,42.6,73.0
1760316950000,23.52,72.3,562.5,0.0459,43.1,69.9
1760316960000,23.47,72.7,543.1,0.0431,41.1,72.3
1760316970000,23.45,71.5,556.9,0.0442,41.3,71.6
1760316980000,23.56,71.6,563.8,0.0458,42.5,69.8
1760316990000,23.49,72.2,561.3,0.0443,42.1,71.3
1760317000000,23.53,71.5,546.2,0.0425,42.2,70.9
1760317010000,23.31,71.1,554.1,0.0434,42.5,71.4
1760317020000,23.46,72.6,547.6,0.0447,42.3,73.8
1760317030000,23.47,71.1,554.8,0.0448,42.4,69.9
1760317040000,23.56,72.7,549.8,0.0464,41.7,70.4
1760317050000,23.51,72.1,560.3,0.0454,42.7,71.2
1760317060000,23.48,72.4,546.6,0.0462,42.7,72.2
1760317070000,23.50,71.8,551.0,0.0451,42.7,71.6
1760317080000,23.53,71.9,556.6,0.0423,41.9,72.2
1760317090000,23.44,72.2,554.8,0.0467,42.9,72.1
1760317100000,23.37,72.2,555.2,0.0438,42.2,69.2
1760317110000,23.50,72.5,552.4,0.0434,42.4,70.7
1760317120000,23.51,73.1,556.4,0.0435,43.2,73.0
1760317130000,23.50,73.0,556.9,0.0449,42.1,73.9
1760317140000,23.35,71.8,545.9,0.0450,43.2,73.4
1760317150000,23.56,71.1,557.3,0.0477,42.0,72.5
1760317160000,23.54,70.7,554.6,0.0480,42.4,72.5
1760317170000,23.39,71.5,565.3,0.0454,41.6,70.8
1760317180000,23.32,72.1,557.1,0.0436,40.6,73.2
1760317190000,23.29,72.7,552.3,0.0462,42.5,72.2
