Timestamp,CO2 (ppm),PM2.5 (ppm),PM10 (ppm),TVOC (ppb),NO2 (ppm)
2025-09-28 11:27:55,821.2,10.3,16.4,115.5,0.017
2025-09-28 11:28:00,801.4,7.5,16.0,85.4,0.025
2025-09-28 11:28:05,796.2,8.6,11.0,70.5,0.028
2025-09-28 11:28:10,807.4,9.2,12.1,108.6,0.023
2025-09-28 11:28:15,797.8,8.7,16.0,127.9,0.014
2025-09-28 11:28:20,800.0,9.1,18.1,119.8,0.025
2025-09-28 11:28:25,795.8,7.0,14.1,96.5,0.024
2025-09-28 11:28:30,815.2,9.2,16.0,73.1,0.019
2025-09-28 11:28:35,821.2,7.6,17.5,102.1,0.015
2025-09-28 11:28:40,797.8,6.4,18.6,85.7,0.015
2025-09-28 11:28:45,805.3,5.7,17.2,111.4,0.024
2025-09-28 11:28:50,810.6,7.0,18.4,79.2,0.017
2025-09-28 11:28:55,812.4,9.3,17.2,106.1,0.026
2025-09-28 11:29:00,798.1,9.4,13.5,118.3,0.014
2025-09-28 11:29:05,809.1,10.1,15.8,129.3,0.026
2025-09-28 11:29:10,806.5,8.2,14.0,94.2,0.021
2025-09-28 11:29:15,812.1,8.7,14.9,82.4,0.027
2025-09-28 11:29:20,818.2,10.3,11.2,124.6,0.028
2025-09-28 11:29:25,815.5,9.2,13.0,100.6,0.016
2025-09-28 11:29:30,809.8,6.4,16.7,125.3,0.018
2025-09-28 11:29:35,827.4,7.3,16.1,115.0,0.022
2025-09-28 11:29:40,825.2,6.6,18.9,118.6,0.024
2025-09-28 11:29:45,812.1,10.0,18.5,111.8,0.026
2025-09-28 11:29:50,813.5,8.4,15.7,84.2,0.020
2025-09-28 11:29:55,827.2,6.9,15.6,79.8,0.025
2025-09-28 11:30:00,818.4,7.5,12.0,77.4,0.023
2025-09-28 11:30:05,812.1,5.7,14.1,107.4,0.025
2025-09-28 11:30:10,818.9,7.3,12.5,85.3,0.018
2025-09-28 11:30:15,823.2,8.5,17.4,75.4,0.016
2025-09-28 11:30:20,813.3,9.1,18.5,116.7,0.024
2025-09-28 11:30:25,807.2,10.3,13.4,125.6,0.017
2025-09-28 11:30:30,817.4,7.4,13.6,117.4,0.022
2025-09-28 11:30:35,825.2,6.7,14.8,105.9,0.026
2025-09-28 11:30:40,825.9,6.5,18.0,88.2,0.020
2025-09-28 11:30:45,818.5,10.4,13.2,99.6,0.024
2025-09-28 11:30:50,826.4,5.8,12.9,97.7,0.026
2025-09-28 11:30:55,808.5,5.9,11.2,86.6,0.019
2025-09-28 11:31:00,817.4,5.6,11.2,101.3,0.023
2025-09-28 11:31:05,829.4,9.7,16.7,97.2,0.021
2025-09-28 11:31:10,805.6,7.9,13.7,80.1,0.022
2025-09-28 11:31:15,830.8,8.4,11.1,129.6,0.013
2025-09-28 11:31:20,816.1,7.5,13.1,114.4,0.023
2025-09-28 11:31:25,811.4,5.9,15.3,84.5,0.012
2025-09-28 11:31:30,804.8,10.1,12.7,97.1,0.012
2025-09-28 11:31:35,807.9,5.7,17.5,100.7,0.013
2025-09-28 11:31:40,816.1,8.5,16.3,91.9,0.012
2025-09-28 11:31:45,802.3,8.9,12.0,94.2,0.022
2025-09-28 11:31:50,828.4,9.9,12.5,129.7,0.022
2025-09-28 11:31:55,822.6,6.4,17.8,86.0,0.014
2025-09-28 11:32:00,805.7,10.1,16.4,74.8,0.022
2025-09-28 11:32:05,808.5,6.8,15.7,124.6,0.020
2025-09-28 11:32:10,812.7,10.3,18.9,82.9,0.027
2025-09-28 11:32:15,804.0,7.3,11.4,84.8,0.017
2025-09-28 11:32:20,828.3,7.3,15.1,124.4,0.022
2025-09-28 11:32:25,804.7,5.9,12.8,105.4,0.023
2025-09-28 11:32:30,816.7,10.5,16.4,99.2,0.015
2025-09-28 11:32:35,830.3,10.4,16.8,90.2,0.026
2025-09-28 11:32:40,822.3,8.1,14.0,95.0,0.018
2025-09-28 11:32:45,831.6,7.2,17.3,72.8,0.023
2025-09-28 11:32:50,811.3,6.8,18.0,122.6,0.022
2025-09-28 11:32:55,808.4,6.9,13.2,121.6,0.017
2025-09-28 11:33:00,819.4,6.3,16.5,71.7,0.021
2025-09-28 11:33:05,813.0,6.6,18.1,106.4,0.027
2025-09-28 11:33:10,834.1,9.2,17.0,84.6,0.021
2025-09-28 11:33:15,833.0,9.9,11.2,120.9,0.018
2025-09-28 11:33:20,820.0,7.2,12.8,89.9,0.028
2025-09-28 11:33:25,828.9,8.2,12.8,113.9,0.012
2025-09-28 11:33:30,827.2,7.3,16.1,113.4,0.026
2025-09-28 11:33:35,821.0,9.2,15.3,114.5,0.012
2025-09-28 11:33:40,817.1,8.9,15.5,93.7,0.022
2025-09-28 11:33:45,815.4,8.2,15.2,71.4,0.017
2025-09-28 11:33:50,834.1,8.0,12.2,101.6,0.023
2025-09-28 11:33:55,810.8,7.8,14.0,80.5,0.026
2025-09-28 11:34:00,825.6,6.0,12.2,101.4,0.022
2025-09-28 11:34:05,808.1,5.8,11.3,116.2,0.026
2025-09-28 11:34:10,820.7,7.0,13.1,86.4,0.017
2025-09-28 11:34:15,816.5,9.8,14.4,84.1,0.014
2025-09-28 11:34:20,818.3,7.1,17.6,123.1,0.024
2025-09-28 11:34:25,817.0,8.8,16.2,86.3,0.028
2025-09-28 11:34:30,812.6,8.6,12.1,74.7,0.017
2025-09-28 11:34:35,821.7,9.4,18.9,87.3,0.024
2025-09-28 11:34:40,822.3,6.2,14.6,80.0,0.013
2025-09-28 11:34:45,831.2,8.6,13.6,120.1,0.013
2025-09-28 11:34:50,832.6,7.8,16.0,111.0,0.024
2025-09-28 11:34:55,835.1,7.9,12.7,122.9,0.022
2025-09-28 11:35:00,811.9,6.6,15.0,95.2,0.024
2025-09-28 11:35:05,838.5,6.1,11.4,122.2,0.027
2025-09-28 11:35:10,817.6,8.9,17.6,116.9,0.026
2025-09-28 11:35:15,814.3,8.5,11.8,112.9,0.028
2025-09-28 11:35:20,838.0,7.2,14.7,116.4,0.022
2025-09-28 11:35:25,824.0,7.8,11.6,78.7,0.016
2025-09-28 11:35:30,826.4,6.9,13.4,80.1,0.025
2025-09-28 11:35:35,832.3,7.9,11.3,70.9,0.016
2025-09-28 11:35:40,821.1,6.7,18.7,92.2,0.016
2025-09-28 11:35:45,838.9,9.2,11.4,83.5,0.012
2025-09-28 11:35:50,832.6,8.0,11.2,125.5,0.014
2025-09-28 11:35:55,831.8,9.3,17.5,100.9,0.023
2025-09-28 11:36:00,831.5,5.5,17.4,73.7,0.015
2025-09-28 11:36:05,814.3,6.5,17.0,99.5,0.020
2025-09-28 11:36:10,827.7,8.5,13.8,90.4,0.027
2025-09-28 11:36:15,821.2,6.6,15.0,129.9,0.016
2025-09-28 11:36:20,823.8,7.4,18.5,101.4,0.022
2025-09-28 11:36:25,832.3,5.8,11.1,124.6,0.019
2025-09-28 11:36:30,820.5,6.5,15.6,118.3,0.013
2025-09-28 11:36:35,835.2,5.9,18.8,87.6,0.022
2025-09-28 11:36:40,834.3,6.6,14.2,87.3,0.022
2025-09-28 11:36:45,820.0,9.6,15.6,102.3,0.026
2025-09-28 11:36:50,829.2,9.3,15.6,121.2,0.015
2025-09-28 11:36:55,830.4,10.3,14.4,98.5,0.025
2025-09-28 11:37:00,840.7,6.4,13.4,125.0,0.023
2025-09-28 11:37:05,813.8,8.0,13.7,112.7,0.026
2025-09-28 11:37:10,838.0,9.5,17.0,105.3,0.027
2025-09-28 11:37:15,826.7,9.0,18.5,126.5,0.027
2025-09-28 11:37:20,827.4,6.7,12.7,128.4,0.015
2025-09-28 11:37:25,821.6,5.5,13.4,113.8,0.015
2025-09-28 11:37:30,829.0,7.4,18.3,124.8,0.015
2025-09-28 11:37:35,833.5,10.5,18.4,87.7,0.022
2025-09-28 11:37:40,836.5,6.6,12.9,101.8,0.013
2025-09-28 11:37:45,830.4,9.9,16.9,89.8,0.027
2025-09-28 11:37:50,838.5,10.2,16.3,109.1,0.026
2025-09-28 11:37:55,829.4,7.2,15.6,95.4,0.021
2025-09-28 11:38:00,821.2,6.1,11.5,90.5,0.017
2025-09-28 11:38:05,834.2,9.4,16.6,95.6,0.012
2025-09-28 11:38:10,843.2,10.0,18.3,118.1,0.026
2025-09-28 11:38:15,837.7,6.7,16.4,85.5,0.018
2025-09-28 11:38:20,819.4,8.6,15.0,80.4,0.013
2025-09-28 11:38:25,827.9,8.3,11.2,82.7,0.019
2025-09-28 11:38:30,829.6,7.6,16.0,104.7,0.027
2025-09-28 11:38:35,818.5,7.3,12.7,118.4,0.023
2025-09-28 11:38:40,835.7,9.5,17.6,78.7,0.021
2025-09-28 11:38:45,845.6,5.9,12.0,108.7,0.020
2025-09-28 11:38:50,827.8,9.1,15.3,94.1,0.028
2025-09-28 11:38:55,831.3,9.5,11.8,109.7,0.020
2025-09-28 11:39:00,828.1,9.2,16.6,126.9,0.022
2025-09-28 11:39:05,818.9,5.5,15.3,129.4,0.016
2025-09-28 11:39:10,827.9,7.1,13.1,91.6,0.023
2025-09-28 11:39:15,842.0,5.9,16.8,99.8,0.020
2025-09-28 11:39:20,837.9,7.7,17.9,72.4,0.020
2025-09-28 11:39:25,839.6,7.6,17.2,129.8,0.017
2025-09-28 11:39:30,845.5,10.2,13.6,104.0,0.020
2025-09-28 11:39:35,845.3,8.8,15.5,122.9,0.024
2025-09-28 11:39:40,821.2,7.8,18.6,96.6,0.019
2025-09-28 11:39:45,838.4,7.6,14.6,92.8,0.013
2025-09-28 11:39:50,824.2,6.9,15.5,90.2,0.027
2025-09-28 11:39:55,845.3,6.5,12.8,88.3,0.015
2025-09-28 11:40:00,827.1,10.0,11.1,77.4,0.024
2025-09-28 11:40:05,836.4,8.0,12.5,85.5,0.018
2025-09-28 11:40:10,832.5,8.7,14.3,128.4,0.021
2025-09-28 11:40:15,843.9,8.5,11.7,78.6,0.021
2025-09-28 11:40:20,822.1,9.2,17.3,128.5,0.018
2025-09-28 11:40:25,839.5,8.3,16.2,121.3,0.013
2025-09-28 11:40:30,843.8,10.5,12.8,96.3,0.021
2025-09-28 11:40:35,836.8,5.7,17.8,121.0,0.012
2025-09-28 11:40:40,846.3,6.1,12.3,112.9,0.014
2025-09-28 11:40:45,843.8,7.3,13.1,87.4,0.017
2025-09-28 11:40:50,828.2,6.8,17.5,120.3,0.028
2025-09-28 11:40:55,820.7,9.0,13.3,104.0,0.028
2025-09-28 11:41:00,823.6,6.4,13.1,125.2,0.028
2025-09-28 11:41:05,842.4,9.9,18.1,72.5,0.020
2025-09-28 11:41:10,839.0,7.7,14.0,92.7,0.026
2025-09-28 11:41:15,827.5,5.7,14.1,122.1,0.012
2025-09-28 11:41:20,830.7,7.5,14.3,111.2,0.013
2025-09-28 11:41:25,826.5,7.0,11.0,87.2,0.024
2025-09-28 11:41:30,823.3,8.1,13.5,76.9,0.022
2025-09-28 11:41:35,845.8,6.8,15.4,124.5,0.018
2025-09-28 11:41:40,849.1,5.6,17.9,102.3,0.025
2025-09-28 11:41:45,836.4,9.5,12.6,73.4,0.025
2025-09-28 11:41:50,842.8,8.6,18.3,128.3,0.015
2025-09-28 11:41:55,844.0,9.8,16.6,92.7,0.013
2025-09-28 11:42:00,832.6,8.4,18.8,92.0,0.022
2025-09-28 11:42:05,851.9,10.2,14.7,99.0,0.025
2025-09-28 11:42:10,832.5,8.7,16.2,120.9,0.014
2025-09-28 11:42:15,828.8,5.6,17.6,83.1,0.017
2025-09-28 11:42:20,824.0,8.1,15.2,127.6,0.014
2025-09-28 11:42:25,836.6,7.2,11.6,87.7,0.026
2025-09-28 11:42:30,846.2,10.3,12.0,108.0,0.026
2025-09-28 11:42:35,845.8,7.9,12.9,89.3,0.024
2025-09-28 11:42:40,844.7,8.8,17.9,90.7,0.014
2025-09-28 11:42:45,848.6,8.7,12.1,87.5,0.027
2025-09-28 11:42:50,837.0,8.6,15.8,84.1,0.018
2025-09-28 11:42:55,840.3,9.8,14.0,90.2,0.019
2025-09-28 11:43:00,841.3,5.6,18.2,107.2,0.019
2025-09-28 11:43:05,847.7,5.7,11.8,114.9,0.015
2025-09-28 11:43:10,841.9,9.7,17.0,76.8,0.019
2025-09-28 11:43:15,847.0,10.3,14.4,120.2,0.019
2025-09-28 11:43:20,845.7,5.8,17.0,111.8,0.020
2025-09-28 11:43:25,851.8,9.9,16.4,82.6,0.027
2025-09-28 11:43:30,837.7,6.4,12.9,74.9,0.016
2025-09-28 11:43:35,842.3,7.4,15.8,72.3,0.013
2025-09-28 11:43:40,847.4,9.6,13.2,90.8,0.018
2025-09-28 11:43:45,827.9,10.3,11.4,97.4,0.013
2025-09-28 11:43:50,851.2,7.1,13.6,83.5,0.028
2025-09-28 11:43:55,837.5,9.6,14.2,113.0,0.014
2025-09-28 11:44:00,846.8,7.5,14.6,72.3,0.016
2025-09-28 11:44:05,830.6,6.0,11.6,85.1,0.018
2025-09-28 11:44:10,841.8,7.8,16.0,116.7,0.020
2025-09-28 11:44:15,841.7,7.9,12.8,89.0,0.017
2025-09-28 11:44:20,846.3,10.4,12.3,94.9,0.022
2025-09-28 11:44:25,854.1,8.0,11.6,124.4,0.015
2025-09-28 11:44:30,856.0,6.9,11.3,79.7,0.022
2025-09-28 11:44:35,856.5,9.8,12.4,75.3,0.017
2025-09-28 11:44:40,831.0,7.9,11.1,90.9,0.026
2025-09-28 11:44:45,852.9,6.4,12.4,125.4,0.013
2025-09-28 11:44:50,843.0,10.2,14.2,106.4,0.015
2025-09-28 11:44:55,855.1,9.4,18.2,90.5,0.024
2025-09-28 11:45:00,830.2,6.0,11.9,100.4,0.024
2025-09-28 11:45:05,840.0,9.7,11.2,76.2,0.028
2025-09-28 11:45:10,853.6,6.5,12.3,97.1,0.016
2025-09-28 11:45:15,841.1,9.1,17.9,114.9,0.027
2025-09-28 11:45:20,852.6,8.8,14.5,110.3,0.022
2025-09-28 11:45:25,848.9,8.5,15.9,82.1,0.028
2025-09-28 11:45:30,853.0,9.3,16.7,79.9,0.025
2025-09-28 11:45:35,844.4,9.5,14.3,77.0,0.020
2025-09-28 11:45:40,849.5,9.5,15.9,101.9,0.024
2025-09-28 11:45:45,830.4,9.6,16.8,107.6,0.021
2025-09-28 11:45:50,843.2,9.0,18.4,70.6,0.017
2025-09-28 11:45:55,839.8,10.5,16.9,82.9,0.026
2025-09-28 11:46:00,842.3,6.1,15.3,87.1,0.013
2025-09-28 11:46:05,856.1,8.5,13.1,76.9,0.018
2025-09-28 11:46:10,834.1,9.3,18.8,95.0,0.018
2025-09-28 11:46:15,838.5,6.4,11.1,117.0,0.012
2025-09-28 11:46:20,842.1,7.2,12.7,105.1,0.027
2025-09-28 11:46:25,842.0,5.5,15.8,117.5,0.013
2025-09-28 11:46:30,839.5,10.4,18.5,104.5,0.025
2025-09-28 11:46:35,839.3,10.3,17.3,84.5,0.024
2025-09-28 11:46:40,830.9,7.6,15.9,113.7,0.014
2025-09-28 11:46:45,851.1,6.8,14.2,116.5,0.026
2025-09-28 11:46:50,849.5,9.9,17.3,124.1,0.019
2025-09-28 11:46:55,832.0,9.9,14.1,91.2,0.022
2025-09-28 11:47:00,846.6,9.8,17.4,79.9,0.024
2025-09-28 11:47:05,861.0,8.0,17.7,103.3,0.020
2025-09-28 11:47:10,840.1,9.9,18.4,99.0,0.017
2025-09-28 11:47:15,852.2,8.8,17.3,106.4,0.026
2025-09-28 11:47:20,855.0,6.7,11.1,97.8,0.019
2025-09-28 11:47:25,858.4,6.1,13.6,75.7,0.016
2025-09-28 11:47:30,853.0,5.7,11.8,110.0,0.026
2025-09-28 11:47:35,844.2,9.0,18.8,70.3,0.021
2025-09-28 11:47:40,852.4,5.6,14.3,107.3,0.023
2025-09-28 11:47:45,850.0,6.2,12.5,103.7,0.025
2025-09-28 11:47:50,856.1,10.3,12.2,79.2,0.015
2025-09-28 11:47:55,842.9,7.7,15.2,106.4,0.018
2025-09-28 11:48:00,856.6,10.1,12.7,73.5,0.025
2025-09-28 11:48:05,833.6,7.9,18.2,85.0,0.025
2025-09-28 11:48:10,859.0,8.1,13.7,91.0,0.028
2025-09-28 11:48:15,853.4,9.8,17.0,122.7,0.015
2025-09-28 11:48:20,847.7,6.9,16.1,111.7,0.021
2025-09-28 11:48:25,835.8,7.6,12.0,121.3,0.027
2025-09-28 11:48:30,847.5,8.6,14.8,115.5,0.016
2025-09-28 11:48:35,853.7,9.2,11.1,108.4,0.021
2025-09-28 11:48:40,835.1,6.8,18.6,76.0,0.013
2025-09-28 11:48:45,862.5,6.9,17.5,80.0,0.018
2025-09-28 11:48:50,859.2,7.2,18.7,75.4,0.021
2025-09-28 11:48:55,845.7,6.2,11.4,72.5,0.026
2025-09-28 11:49:00,861.2,6.7,13.8,77.4,0.027
2025-09-28 11:49:05,862.9,7.0,15.4,85.2,0.015
2025-09-28 11:49:10,853.3,7.8,18.0,129.6,0.018
2025-09-28 11:49:15,863.9,9.4,18.2,109.6,0.026
2025-09-28 11:49:20,856.3,9.8,15.4,74.3,0.023
2025-09-28 11:49:25,856.3,7.2,11.5,96.0,0.021
2025-09-28 11:49:30,851.4,6.0,18.8,128.4,0.018
2025-09-28 11:49:35,862.9,6.0,12.6,93.4,0.025
2025-09-28 11:49:40,855.9,7.1,14.9,70.1,0.018
2025-09-28 11:49:45,840.1,9.6,17.4,90.0,0.016
2025-09-28 11:49:50,843.7,6.6,17.6,80.1,0.020
2025-09-28 11:49:55,863.2,10.0,12.1,76.2,0.018
2025-09-28 11:50:00,837.1,10.3,15.3,127.0,0.015
2025-09-28 11:50:05,859.9,6.4,15.2,92.3,0.028
2025-09-28 11:50:10,845.7,6.9,17.7,117.7,0.013
2025-09-28 11:50:15,863.1,10.1,18.0,127.6,0.014
2025-09-28 11:50:20,846.3,7.5,14.8,88.8,0.020
2025-09-28 11:50:25,848.2,9.3,17.5,93.5,0.017
2025-09-28 11:50:30,855.7,9.4,16.6,112.4,0.020
2025-09-28 11:50:35,843.9,7.8,14.4,73.7,0.018
2025-09-28 11:50:40,846.2,8.1,13.3,91.2,0.024
2025-09-28 11:50:45,865.9,6.0,15.4,117.4,0.013
2025-09-28 11:50:50,852.8,6.5,14.4,85.8,0.017
2025-09-28 11:50:55,864.5,7.7,18.8,74.9,0.017
2025-09-28 11:51:00,868.2,6.1,14.8,95.7,0.019
2025-09-28 11:51:05,841.1,9.2,16.2,122.4,0.016
2025-09-28 11:51:10,857.6,9.2,17.2,122.9,0.017
2025-09-28 11:51:15,854.5,9.7,11.3,81.5,0.014
2025-09-28 11:51:20,856.0,8.1,18.7,96.9,0.025
2025-09-28 11:51:25,862.1,9.8,14.6,126.6,0.021
2025-09-28 11:51:30,854.6,9.5,11.8,102.4,0.017
2025-09-28 11:51:35,844.0,8.2,15.0,108.0,0.017
2025-09-28 11:51:40,856.8,7.5,16.1,125.9,0.025
2025-09-28 11:51:45,849.6,10.5,11.3,129.5,0.025
2025-09-28 11:51:50,859.4,8.9,11.8,92.4,0.026
2025-09-28 11:51:55,841.7,6.8,12.6,73.2,0.023
2025-09-28 11:52:00,851.6,6.1,13.8,110.6,0.025
2025-09-28 11:52:05,846.6,5.8,18.5,112.8,0.026
2025-09-28 11:52:10,843.8,7.0,18.1,100.7,0.017
2025-09-28 11:52:15,856.6,9.9,12.1,71.7,0.019
2025-09-28 11:52:20,852.9,9.6,14.9,117.4,0.018
2025-09-28 11:52:25,859.2,8.8,13.5,107.0,0.014
2025-09-28 11:52:30,848.0,9.7,13.1,116.6,0.018
2025-09-28 11:52:35,848.0,8.4,14.3,128.6,0.019
2025-09-28 11:52:40,862.6,6.1,18.3,106.6,0.026
2025-09-28 11:52:45,862.8,7.4,15.8,124.9,0.021
2025-09-28 11:52:50,863.2,6.9,13.7,93.7,0.018
2025-09-28 11:52:55,857.6,8.5,15.2,81.1,0.025
2025-09-28 11:53:00,872.1,7.5,16.7,109.8,0.018
2025-09-28 11:53:05,864.2,5.8,16.4,91.5,0.024
2025-09-28 11:53:10,854.9,7.7,11.7,129.1,0.022
2025-09-28 11:53:15,848.9,9.0,16.5,80.4,0.024
2025-09-28 11:53:20,867.9,7.9,18.6,104.4,0.017
2025-09-28 11:53:25,858.1,9.0,14.2,85.9,0.025
2025-09-28 11:53:30,866.5,6.7,17.0,81.8,0.020
2025-09-28 11:53:35,853.0,6.8,15.9,100.5,0.026
2025-09-28 11:53:40,847.3,9.3,15.2,75.3,0.020
2025-09-28 11:53:45,863.3,6.4,18.1,113.6,0.015
2025-09-28 11:53:50,861.9,6.5,17.4,129.9,0.018
2025-09-28 11:53:55,867.7,8.1,16.4,91.3,0.015
2025-09-28 11:54:00,845.9,7.5,18.5,91.3,0.020
2025-09-28 11:54:05,872.5,5.8,14.1,98.9,0.025
2025-09-28 11:54:10,868.9,8.6,14.5,85.9,0.026
2025-09-28 11:54:15,850.8,6.4,11.2,97.7,0.015
2025-09-28 11:54:20,863.0,9.8,11.3,75.0,0.024
2025-09-28 11:54:25,848.0,7.0,16.1,92.0,0.013
2025-09-28 11:54:30,858.3,8.4,18.3,98.7,0.022
2025-09-28 11:54:35,854.4,9.1,15.9,87.3,0.016
2025-09-28 11:54:40,863.7,9.8,16.5,119.4,0.025
2025-09-28 11:54:45,871.3,8.3,18.6,129.7,0.020
2025-09-28 11:54:50,874.1,6.2,12.1,119.0,0.014
2025-09-28 11:54:55,864.9,8.3,17.8,95.8,0.018
2025-09-28 11:55:00,858.9,10.2,11.6,92.8,0.021
2025-09-28 11:55:05,869.4,6.7,13.1,96.0,0.012
2025-09-28 11:55:10,875.4,6.3,14.9,101.3,0.021
2025-09-28 11:55:15,866.0,6.1,11.0,126.7,0.012
2025-09-28 11:55:20,873.9,6.6,18.4,105.5,0.024
2025-09-28 11:55:25,872.0,6.5,18.7,120.4,0.020
2025-09-28 11:55:30,866.1,6.2,15.5,96.5,0.027
2025-09-28 11:55:35,855.7,9.8,14.3,127.1,0.013
2025-09-28 11:55:40,874.4,7.7,17.1,78.0,0.024
2025-09-28 11:55:45,875.3,6.6,18.7,87.1,0.019
2025-09-28 11:55:50,855.7,9.8,15.1,93.7,0.019
2025-09-28 11:55:55,866.0,5.6,15.5,100.7,0.019
2025-09-28 11:56:00,860.8,6.8,18.7,109.3,0.015
2025-09-28 11:56:05,873.7,6.5,14.3,107.8,0.019
2025-09-28 11:56:10,859.6,9.1,14.0,78.5,0.026
2025-09-28 11:56:15,861.9,7.4,12.7,96.5,0.017
2025-09-28 11:56:20,872.6,7.0,14.4,87.1,0.020
2025-09-28 11:56:25,867.2,8.1,14.5,124.1,0.024
2025-09-28 11:56:30,851.5,10.0,15.2,75.4,0.019
2025-09-28 11:56:35,877.0,6.5,11.9,89.3,0.021
2025-09-28 11:56:40,869.3,8.8,14.3,91.1,0.020
2025-09-28 11:56:45,858.9,8.1,11.4,123.0,0.017
2025-09-28 11:56:50,867.2,7.1,11.5,101.6,0.013
2025-09-28 11:56:55,866.9,7.4,12.1,124.1,0.018
2025-09-28 11:57:00,876.9,7.0,13.0,73.3,0.017
2025-09-28 11:57:05,876.4,8.8,14.5,119.0,0.013
2025-09-28 11:57:10,874.9,10.0,17.1,107.5,0.020
2025-09-28 11:57:15,867.6,8.8,17.3,109.3,0.016
2025-09-28 11:57:20,878.4,10.0,16.3,70.1,0.021
2025-09-28 11:57:25,870.2,5.5,13.6,103.6,0.021
2025-09-28 11:57:30,860.2,6.0,18.5,123.9,0.019
2025-09-28 11:57:35,872.6,6.4,16.1,117.7,0.021
2025-09-28 11:57:40,854.4,9.4,11.6,92.0,0.023
2025-09-28 11:57:45,856.4,9.7,12.0,100.8,0.020
2025-09-28 11:57:50,871.8,5.7,18.0,82.4,0.014
2025-09-28 11:57:55,880.0,10.4,14.9,100.9,0.013
